,No.,Popcode,request,response
0,HG00271,FIN,0,33
1,HG00276,FIN,0,33
2,HG00288,FIN,0,33
3,HG00290,FIN,0,33
4,HG00308,FIN,0,33
5,HG00310,FIN,0,33
6,HG00315,FIN,0,33
7,HG00327,FIN,0,33
8,HG00334,FIN,0,33
9,HG00339,FIN,0,33
10,HG00341,FIN,0,33
11,HG00346,FIN,0,33
12,HG00353,FIN,0,33
13,HG00358,FIN,0,33
14,HG00360,FIN,0,33
15,HG00365,FIN,0,33
16,HG00372,FIN,0,33
17,HG00132,GBR,0,33
18,HG00137,GBR,0,33
19,HG00144,GBR,0,33
20,HG00149,GBR,0,33
21,HG00151,GBR,0,33
22,HG00156,GBR,0,33
23,HG00182,FIN,0,33
24,HG00187,FIN,0,33
25,HG00136,GBR,0,33
26,HG00233,GBR,0,33
27,HG00143,GBR,0,33
28,HG00238,GBR,0,33
29,HG00148,GBR,0,33
30,HG00240,GBR,0,33
31,HG00150,GBR,0,33
32,HG00245,GBR,0,33
33,HG00155,GBR,0,33
34,HG00252,GBR,0,33
35,HG00174,FIN,0,33
36,HG00257,GBR,0,33
37,HG00179,FIN,0,33
38,HG00264,GBR,0,33
39,HG00181,FIN,0,33
40,HG00269,FIN,0,33
41,HG00186,FIN,0,33
42,HG00377,FIN,0,33
43,HG00232,GBR,0,33
44,HG00384,FIN,0,33
45,HG00237,GBR,0,33
46,HG00404,CHS,0,33
47,HG00244,GBR,0,33
48,HG00409,CHS,0,33
49,HG00249,GBR,0,33
50,HG00251,GBR,0,33
51,HG00423,CHS,0,33
52,HG00256,GBR,0,33
53,HG00428,CHS,0,33
54,HG00263,GBR,0,33
55,HG00442,CHS,0,33
56,HG00268,FIN,0,33
57,HG00447,CHS,0,33
58,HG00383,FIN,0,33
59,HG00459,CHS,0,33
60,HG00403,CHS,0,33
61,HG00473,CHS,0,33
62,HG00408,CHS,0,33
63,HG00098,GBR,0,33
64,HG00410,CHS,0,33
65,HG00101,GBR,0,33
66,HG00422,CHS,0,33
67,HG00106,GBR,0,33
68,HG00427,CHS,0,33
69,HG00113,GBR,0,33
70,HG00446,CHS,0,33
71,HG00118,GBR,0,33
72,HG00453,CHS,0,33
73,HG00120,GBR,0,33
74,HG00458,CHS,0,33
75,HG00125,GBR,0,33
76,HG00465,CHS,0,33
77,HG00472,CHS,0,33
78,HG00270,FIN,0,33
79,HG00275,FIN,0,33
80,HG00282,FIN,0,33
81,HG00319,FIN,0,33
82,HG00478,CHS,0,33
83,HG00321,FIN,0,33
84,HG00480,CHS,0,33
85,HG00326,FIN,0,33
86,HG00500,CHS,0,33
87,HG00338,FIN,0,33
88,HG00512,CHS,0,33
89,HG00345,FIN,0,33
90,HG00524,CHS,0,33
91,HG00357,FIN,0,33
92,HG00531,CHS,0,33
93,HG00364,FIN,0,33
94,HG00536,CHS,0,33
95,HG00369,FIN,0,33
96,HG00543,CHS,0,33
97,HG00371,FIN,0,33
98,HG00555,PUR,0,33
99,HG00376,FIN,0,33
100,HG00567,CHS,0,33
101,HG00097,GBR,0,33
102,HG00579,CHS,0,33
103,HG00100,GBR,0,33
104,HG00581,CHS,0,33
105,HG00105,GBR,0,33
106,HG00733,PUR,0,33
107,HG00112,GBR,0,33
108,HG00738,PUR,0,33
109,HG00117,GBR,0,33
110,HG00740,PUR,0,33
111,HG00124,GBR,0,33
112,HG00978,CDX,0,33
113,HG00129,GBR,0,33
114,HG01142,CLM,0,33
115,HG00131,GBR,0,33
116,HG01161,PUR,0,33
117,HG01173,PUR,0,33
118,HG01178,PUR,0,33
119,HG01192,PUR,0,33
120,HG01197,PUR,0,33
121,HG01200,PUR,0,33
122,HG00477,CHS,0,33
123,HG01205,PUR,0,33
124,HG00530,CHS,0,33
125,HG01243,PUR,0,33
126,HG00535,CHS,0,33
127,HG01248,PUR,0,33
128,HG00542,CHS,0,33
129,HG01250,CLM,0,33
130,HG00554,PUR,0,33
131,HG00651,CHS,0,33
132,HG00559,CHS,0,33
133,HG00656,CHS,0,33
134,HG00561,CHS,0,33
135,HG00663,CHS,0,33
136,HG00566,CHS,0,33
137,HG00675,CHS,0,33
138,HG00578,CHS,0,33
139,HG00694,CHS,0,33
140,HG00580,CHS,0,33
141,HG00699,CHS,0,33
142,HG00585,CHS,0,33
143,HG00702,CHS,0,33
144,HG00718,CHS,0,33
145,HG00707,CHS,0,33
146,HG00732,PUR,0,33
147,HG00593,CHS,0,33
148,HG00737,PUR,0,33
149,HG00598,CHS,0,33
150,HG00864,CDX,0,33
151,HG00613,CHS,0,33
152,HG00650,CHS,0,33
153,HG00620,CHS,0,33
154,HG00655,CHS,0,33
155,HG00625,CHS,0,33
156,HG00662,CHS,0,33
157,HG00632,CHS,0,33
158,HG00674,CHS,0,33
159,HG00637,PUR,0,33
160,HG00693,CHS,0,33
161,HG01089,PUR,0,33
162,HG00698,CHS,0,33
163,HG01096,PUR,0,33
164,HG00701,CHS,0,33
165,HG01104,PUR,0,33
166,HG00706,CHS,0,33
167,HG01109,PUR,0,33
168,HG01141,CLM,0,33
169,HG01111,PUR,0,33
170,HG01172,PUR,0,33
171,HG01177,PUR,0,33
172,HG01130,CLM,0,33
173,HG01184,PUR,0,33
174,HG01135,CLM,0,33
175,HG01189,PUR,0,33
176,HG01046,CDX,0,33
177,HG01191,PUR,0,33
178,HG01053,PUR,0,33
179,HG01204,PUR,0,33
180,HG01058,PUR,0,33
181,HG01242,PUR,0,33
182,HG01060,PUR,0,33
183,HG01247,PUR,0,33
184,HG01072,PUR,0,33
